timestamp,top_k,faithfulness,answer_relevancy,context_precision,context_recall
2026-06-24T18:00:56.588297,15,0.7933,0.6800,0.8367,0.5000
2026-06-24T18:35:25.198909,15,0.7733,0.7333,0.8600,0.6800
2026-06-25T16:09:21.400016,14,0.8786,0.9000,0.9286,0.8857
2026-06-26T09:19:04.404400,15,0.9200,0.8533,0.9600,0.7533
2026-06-26T15:50:50.396406,1,0.7933,0.5467,0.7067,0.3600
2026-06-26T16:24:24.235825,3,0.9333,0.8200,0.9733,0.6600
2026-06-26T16:38:05.386567,5,0.8467,0.7800,0.9867,0.7200
2026-06-26T16:47:11.635845,10,0.8667,0.8533,0.9933,0.8933
2026-06-26T16:56:03.298074,15,0.9333,0.8533,0.9400,0.8133
2026-06-26T17:05:10.871857,20,0.9667,0.9600,0.9867,0.9133
